Fourier Analysis of Periodic Signals,,False,"[{'tag_name': 'ASPECT', 'parsed_value': 'fourier analysis', 'count': 1, 'forms': [{'start_char': 0, 'form': 'Fourier Analysis', 'end_char': 16}], 'relevance': 0.3736640588473621}, {'tag_name': 'ASPECT', 'parsed_value': 'periodic signals', 'count': 1, 'forms': [{'start_char': 20, 'form': 'Periodic Signals', 'end_char': 36}], 'relevance': 0.31567660684318744}]"
<h3>Fourier Analysis of Periodic Signals</h3>,,False,"[{'tag_name': 'ASPECT', 'parsed_value': 'fourier analysis', 'count': 1, 'forms': [{'start_char': 4, 'form': 'Fourier Analysis', 'end_char': 20}], 'relevance': 0.3736640588473621}, {'tag_name': 'ASPECT', 'parsed_value': 'periodic signals</h3', 'count': 1, 'forms': [{'start_char': 24, 'form': 'Periodic Signals</h3', 'end_char': 44}], 'relevance': 0.3081851637804481}, {'tag_name': 'ASPECT', 'parsed_value': 'h3', 'count': 1, 'forms': [{'start_char': 1, 'form': 'h3', 'end_char': 3}], 'relevance': 0.2988977911368622}]"
\begin{equation*}x_N (t) = \sum_{k=-N}^N a_k e^{j(2\pi/T_0)kt}\end{equation*},,False,"[{'tag_name': 'ASPECT', 'parsed_value': '\\sum_{k=-n}^n a_k', 'count': 1, 'forms': [{'start_char': 27, 'form': '\\sum_{k=-N}^N a_k', 'end_char': 44}], 'relevance': 0.35213860978461065}]"
a_k,,False,"[{'tag_name': 'ASPECT', 'parsed_value': 'a_k', 'count': 1, 'forms': [{'start_char': 0, 'form': 'a_k', 'end_char': 3}], 'relevance': 0.7723944280161202}]"
"We can synthesize  <i>any periodic signal</i>  by using a sum of
sinusoids <a class=""flink bkeq"" ref=""eq-Fourier-Series-synthesis""><span ref=""eq-Fourier-Series-synthesis"" class=""glyphicon glyphicon-option-horizontal"" aria-hidden=""true""></span></a>, as long as we
constrain the frequencies to be harmonically related.
 To demonstrate Fourier synthesis of waveshapes that do not look at all
sinusoidal, we will work out the details for  a square wave and a
triangle wave in this section.
 The resulting formulas for their Fourier coefficients
 \(a_k\) are relatively compact.
  Figure~<a class=""flink bkimg"" ref=""fig-FS-block-diagram"">&#8251;</a> shows the relationship between
  Fourier analysis and Fourier synthesis using representative
  plots for the square wave case.
 If you have access to MATLAB it is straightforward to write a
<i>Fourier Synthesis Program</i> that takes a list of frequencies
and a list of complex amplitudes and then produces a signal as the
sum of several complex exponentials according to the <i>finite</i> Fourier synthesis summation formula
 <div id=""eq-sum-harmonics-finite"" class=""bookEquation"">\begin{equation*}x_N (t) = \sum_{k=-N}^N a_k e^{j(2\pi/T_0)kt}\end{equation*}</div>
 
 This MATLAB programming exercise is described
 in more detail  in the music synthesis lab.",,False,"[{'tag_name': 'ASPECT', 'parsed_value': 'square wave', 'count': 1, 'forms': [{'start_char': 441, 'form': 'square wave', 'end_char': 452}], 'relevance': 1.0}, {'tag_name': 'ASPECT', 'parsed_value': 'triangle wave', 'count': 1, 'forms': [{'start_char': 460, 'form': 'triangle wave', 'end_char': 473}], 'relevance': 0.7503510042545112}, {'tag_name': 'OPINION', 'parsed_value': 'complex amplitude', 'count': 1, 'forms': [{'start_char': 928, 'form': 'complex amplitudes', 'end_char': 946}], 'relevance': 0.5162984846650833}, {'tag_name': 'OPINION', 'parsed_value': 'complex exponential', 'count': 1, 'forms': [{'start_char': 997, 'form': 'complex exponentials', 'end_char': 1017}], 'relevance': 0.5030923204765121}, {'tag_name': 'ASPECT', 'parsed_value': 'class=""glyphicon glyphicon', 'count': 1, 'forms': [{'start_char': 172, 'form': 'class=""glyphicon glyphicon', 'end_char': 198}], 'relevance': 0.4747231709759135}, {'tag_name': 'ASPECT', 'parsed_value': 'class=""flink bkeq', 'count': 1, 'forms': [{'start_char': 79, 'form': 'class=""flink bkeq', 'end_char': 96}], 'relevance': 0.47178606254955124}, {'tag_name': 'ASPECT', 'parsed_value': 'synthesis', 'count': 1, 'forms': [{'start_char': 161, 'form': 'synthesis', 'end_char': 170}], 'relevance': 0.40084664594345093}, {'tag_name': 'ASPECT', 'parsed_value': 'frequency', 'count': 1, 'forms': [{'start_char': 279, 'form': 'frequencies', 'end_char': 290}], 'relevance': 0.3937087707924758}, {'tag_name': 'ASPECT', 'parsed_value': 'fourier analysis', 'count': 1, 'forms': [{'start_char': 687, 'form': 'Fourier analysis', 'end_char': 703}], 'relevance': 0.3736640588473621}, {'tag_name': 'ASPECT', 'parsed_value': '\\sum_{k=-n}^n a_k', 'count': 1, 'forms': [{'start_char': 1169, 'form': '\\sum_{k=-N}^N a_k', 'end_char': 1186}], 'relevance': 0.35213860978461065}]"
"<div class=""panel panel-default"">
								  <div class=""panel-body""><strong>Lab</strong>: #4 Synthesis of Sinusoidal Signals</div>
								</div>",,False,"[{'tag_name': 'ASPECT', 'parsed_value': 'synthesis', 'count': 1, 'forms': [{'start_char': 94, 'form': 'Synthesis', 'end_char': 103}], 'relevance': 0.40084664594345093}, {'tag_name': 'ASPECT', 'parsed_value': 'class=""panel panel', 'count': 1, 'forms': [{'start_char': 5, 'form': 'class=""panel panel', 'end_char': 23}], 'relevance': 0.3852973966868045}, {'tag_name': 'ASPECT', 'parsed_value': 'sinusoidal signals</div', 'count': 1, 'forms': [{'start_char': 107, 'form': 'Sinusoidal Signals</div', 'end_char': 130}], 'relevance': 0.32272776800398684}, {'tag_name': 'ASPECT', 'parsed_value': 'panel-default', 'count': 1, 'forms': [{'start_char': 18, 'form': 'panel-default', 'end_char': 31}], 'relevance': 0.29192888152173957}, {'tag_name': 'ASPECT', 'parsed_value': 'lab</strong', 'count': 1, 'forms': [{'start_char': 77, 'form': 'Lab</strong', 'end_char': 88}], 'relevance': 0.27926713599508224}, {'tag_name': 'ASPECT', 'parsed_value': 'class=""panel-body""><strong', 'count': 1, 'forms': [{'start_char': 50, 'form': 'class=""panel-body""><strong', 'end_char': 76}], 'relevance': 0.27926713599508224}]"
x(t),,False,[]
x_N(t),,False,"[{'tag_name': 'ASPECT', 'parsed_value': 'x_n(t', 'count': 1, 'forms': [{'start_char': 0, 'form': 'x_N(t', 'end_char': 5}], 'relevance': 0.32394739484588464}]"
"\figurepsAlt{Chapter03/art/FSeries_block_diagram}
 {Major components of Fourier analysis and synthesis showing the
 relationship between the original periodic signal \(x(t)\), its spectrum,
 and the synthesized signal \(x_N(t)\) that approximates the original.
 }",,False,"[{'tag_name': 'ASPECT', 'parsed_value': 'spectrum', 'count': 1, 'forms': [{'start_char': 182, 'form': 'spectrum', 'end_char': 190}], 'relevance': 0.43609037181866683}, {'tag_name': 'ASPECT', 'parsed_value': 'synthesis', 'count': 1, 'forms': [{'start_char': 94, 'form': 'synthesis', 'end_char': 103}], 'relevance': 0.40084664594345093}, {'tag_name': 'OPINION', 'parsed_value': 'synthesized signal \\(x_n(t)\\', 'count': 1, 'forms': [{'start_char': 202, 'form': 'synthesized signal \\(x_N(t)\\', 'end_char': 230}], 'relevance': 0.36356129916982194}, {'tag_name': 'ASPECT', 'parsed_value': 'art', 'count': 1, 'forms': [{'start_char': 23, 'form': 'art', 'end_char': 26}], 'relevance': 0.36287786318751}, {'tag_name': 'ASPECT', 'parsed_value': 'component of fourier analysis', 'count': 1, 'forms': [{'start_char': 59, 'form': 'components of Fourier analysis', 'end_char': 89}], 'relevance': 0.3024244308805469}, {'tag_name': 'ASPECT', 'parsed_value': 'original periodic signal', 'count': 1, 'forms': [{'start_char': 143, 'form': 'original periodic signal', 'end_char': 167}], 'relevance': 0.2914333635465462}, {'tag_name': 'ASPECT', 'parsed_value': 'major component', 'count': 1, 'forms': [{'start_char': 53, 'form': 'Major components', 'end_char': 69}], 'relevance': 0.2818161796292956}, {'tag_name': 'ASPECT', 'parsed_value': 'signal \\(x_n(t)\\', 'count': 1, 'forms': [{'start_char': 214, 'form': 'signal \\(x_N(t)\\', 'end_char': 230}], 'relevance': 0.2818161796292956}, {'tag_name': 'ASPECT', 'parsed_value': 'relationship', 'count': 1, 'forms': [{'start_char': 118, 'form': 'relationship', 'end_char': 130}], 'relevance': 0.2639704810357033}, {'tag_name': 'ASPECT', 'parsed_value': 'original', 'count': 1, 'forms': [{'start_char': 254, 'form': 'original', 'end_char': 262}], 'relevance': 0.2598340449612942}]"
Square wave,,False,"[{'tag_name': 'ASPECT', 'parsed_value': 'square wave', 'count': 1, 'forms': [{'start_char': 0, 'form': 'Square wave', 'end_char': 11}], 'relevance': 1.0}]"
